,,,,,,PG FL National,,,PGFLNational@perfectgame.org,,,,,,,2023 14U PG Florida State Championship (OPEN),,,May 12 - 14,,,BOOMBAH Sports Complex | Sanford, FL,,,Base Eleven,https://www.perfectgame.org/Events/Tournaments/Teams/?team=532370,,Base Eleven,Orlando, FL,39202,146493,532370,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=39202,,Orlando, FL,2,24,Champion (3) | Runner - up (5) | Third place (16),
,,,,,,PG FL National,,,PGFLNational@perfectgame.org,,,,,,,2023 14U PG Florida State Championship (OPEN),,,May 12 - 14,,,BOOMBAH Sports Complex | Sanford, FL,,,Canes Florida 14u Black,https://www.perfectgame.org/Events/Tournaments/Teams/?team=536453,,Canes Florida,Ocoee, FL,32108,164002,536453,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=32108,,Vero Beach, FL,16,74,Champion (35) | Runner - up (11) | Third place (28),
,,,,,,PG FL National,,,PGFLNational@perfectgame.org,,,,,,,2023 14U PG Florida State Championship (OPEN),,,May 12 - 14,,,BOOMBAH Sports Complex | Sanford, FL,,,Chiefs Baseball 14u,https://www.perfectgame.org/Events/Tournaments/Teams/?team=527375,,Chiefs Baseball,Fort Lauderdale, FL,43139,144842,527375,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=43139,,Coral Springs, FL,1,1,Champion (1) | Runner - up (0) | Third place (0),
,,,,,,PG FL National,,,PGFLNational@perfectgame.org,,,,,,,2023 14U PG Florida State Championship (OPEN),,,May 12 - 14,,,BOOMBAH Sports Complex | Sanford, FL,,,Clutch Elite 14u,https://www.perfectgame.org/Events/Tournaments/Teams/?team=588215,,CLUTCH ELITE,Miami, FL,42928,147887,588215,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=42928,,Miami, FL,3,28,Champion (13) | Runner - up (6) | Third place (9),
,,,,,,PG FL National,,,PGFLNational@perfectgame.org,,,,,,,2023 14U PG Florida State Championship (OPEN),,,May 12 - 14,,,BOOMBAH Sports Complex | Sanford, FL,,,Diamond Hogs Baseball 14u,https://www.perfectgame.org/Events/Tournaments/Teams/?team=539580,,Diamond Hogs Baseball,West Palm Beach, FL,58316,164128,539580,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=58316,,DELRAY BEACH, FL,1,2,Champion (0) | Runner - up (0) | Third place (2),
,,,,,,PG FL National,,,PGFLNational@perfectgame.org,,,,,,,2023 14U PG Florida State Championship (OPEN),,,May 12 - 14,,,BOOMBAH Sports Complex | Sanford, FL,,,Dirtbags Florida,https://www.perfectgame.org/Events/Tournaments/Teams/?team=548485,,BP co.,Palm Beach Gardens, FL,36295,143157,548485,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=36295,,Palm Beach Gardens, FL,6,7,Champion (1) | Runner - up (0) | Third place (6),
,,,,,,PG FL National,,,PGFLNational@perfectgame.org,,,,,,,2023 14U PG Florida State Championship (OPEN),,,May 12 - 14,,,BOOMBAH Sports Complex | Sanford, FL,,,Florida Blue Jays LR 14U,https://www.perfectgame.org/Events/Tournaments/Teams/?team=532497,,FL Blue Jays,Orlando , FL,60406,147707,532497,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=60406,,Orlando, FL,7,1,Champion (0) | Runner - up (0) | Third place (1),
,,,,,,PG FL National,,,PGFLNational@perfectgame.org,,,,,,,2023 14U PG Florida State Championship (OPEN),,,May 12 - 14,,,BOOMBAH Sports Complex | Sanford, FL,,,Ftb Select Tucci 14u,https://www.perfectgame.org/Events/Tournaments/Teams/?team=540536,,FTB,Kissimmee, FL,1934,150017,540536,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=1934,,Kissimmee, FL,43,233,Champion (59) | Runner - up (52) | Third place (122),
,,,,,,PG FL National,,,PGFLNational@perfectgame.org,,,,,,,2023 14U PG Florida State Championship (OPEN),,,May 12 - 14,,,BOOMBAH Sports Complex | Sanford, FL,,,Gsb Prospects 2027,https://www.perfectgame.org/Events/Tournaments/Teams/?team=549261,,GSB PROSPECTS,Central, FL,17667,152749,549261,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=17667,,palm bay, FL,7,38,Champion (8) | Runner - up (9) | Third place (21),
,,,,,,PG FL National,,,PGFLNational@perfectgame.org,,,,,,,2023 14U PG Florida State Championship (OPEN),,,May 12 - 14,,,BOOMBAH Sports Complex | Sanford, FL,,,Hard Ninety Baseball - South,https://www.perfectgame.org/Events/Tournaments/Teams/?team=546335,,Hard Ninety Baseball,Port Orange, FL,22150,151544,546335,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=22150,,Orange City, FL,1,8,Champion (2) | Runner - up (1) | Third place (5),
,,,,,,PG FL National,,,PGFLNational@perfectgame.org,,,,,,,2023 14U PG Florida State Championship (OPEN),,,May 12 - 14,,,BOOMBAH Sports Complex | Sanford, FL,,,Hit Factory Pro 2027,https://www.perfectgame.org/Events/Tournaments/Teams/?team=546611,,Hit Factory,Tampa, FL,7843,165376,546611,https://www.perfectgame.org/PGBA/Team/default.aspx?orgid=7843,,Tampa, FL,15,27,Champion (9) | Runner - up (5) | Third place (13),
